from,to,DOI_From,paradigm,DOI_to,FirstAu,Year
"A MULTI-TAXA FUNCTIONAL DIVERSITY ASSESSMENT OF THE EFFECTS OF ECO-ESTATE DEVELOPMENT IN THE MIXED LAND-USE MOSAIC OF THE KWAZULU-NATAL NORTH COAST, SOUTH AFRICA","A MULTI-TAXA FUNCTIONAL DIVERSITY ASSESSMENT OF THE EFFECTS OF ECO-ESTATE DEVELOPMENT IN THE MIXED LAND-USE MOSAIC OF THE KWAZULU-NATAL NORTH COAST, SOUTH AFRICA",10.1016/J.LANDURBPLAN.2019.103650,in,10.1016/J.ECOLIND.2019.04.004,ALEXANDER,2019
A PARCEL-SCALE COASTAL FLOOD FORECASTING PROTOTYPE FOR A SOUTHERN CALIFORNIA URBANIZED EMBAYMENT,INTEGRATING CLIMATE CHANGE FACTORS INTO CHINA'S DEVELOPMENT POLICY: ADAPTATION STRATEGIES AND MITIGATION TO ENVIRONMENTAL CHANGE,10.2112/JCOASTRES-D-12-00114.1,for,10.1016/J.COASTALENG.2011.01.011,GALLIEN,2011
AIR CONDITIONING THE ARABIAN PENINSULA,ASSESSING URBAN FLOODING VULNERABILITY WITH AN EMERGY APPROACH,10.1017/S0020743818000570,of,10.1080/13602365.2015.1010095,CHANG,2015
AN ANIMAL GEOGRAPHY OF AVIAN FORAGING COMPETITION ON THE SUSSEX COAST OF ENGLAND,GULLS IN URBAN ENVIRONMENTS: LANDSCAPE-LEVEL MANAGEMENT TO REDUCE CONFLICT,10.2112/08-1087.1,in,10.1016/S0169-2046(97)00037-6,BELANT,1997
AN ULTRA-SPATIALLY RESOLVED METHOD TO QUALI-QUANTITATIVE MONITOR PARTICULATE MATTER IN URBAN ENVIRONMENT,ON THE RELATIONSHIP BETWEEN LANDSCAPE ECOLOGICAL PATTERNS AND WATER QUALITY ACROSS GRADIENT ZONES OF RAPID URBANIZATION IN COASTAL CHINA,10.1007/S11356-019-05160-8,in,10.1016/J.ATMOSENV.2015.08.087,KARAGULIAN,2015
AN ULTRA-SPATIALLY RESOLVED METHOD TO QUALI-QUANTITATIVE MONITOR PARTICULATE MATTER IN URBAN ENVIRONMENT,"GEOCHEMISTRY AND CARBON ISOTOPIC RATIO FOR ASSESSMENT OF PM10 COMPOSITION, SOURCE AND SEASONAL TRENDS IN URBAN ENVIRONMENT",10.1007/S11356-019-05160-8,in,10.1088/1755-1315/118/1/012019,RUSYDI,2018
AN URBAN STREAM CAN SUPPORT A HEALTHY POPULATION OF COASTAL CUTTHROAT TROUT,SEASONAL POPULATION DYNAMICS OF THE AUSTRALIAN WHITE IBIS (THRESKIORNIS MOLUCCA) IN URBAN ENVIRONMENTS,10.1007/S11252-017-0711-0,in,,SMITH,2010
APPLICATION OF COASTAL VEGETATION TO GREEN ROOFS OF RESIDENTIAL BUILDINGS IN TAIWAN,5-YEAR STUDY OF RAINWATER CHEMISTRY IN A COASTAL MEGA-CITY IN SOUTH CHINA,10.1007/S10015-015-0199-8,in,,HUANG,2010
ASSESSING AND MAPPING REGIONAL COASTAL VULNERABILITY FOR PORT ENVIRONMENTS AND COASTAL CITIES,"THE HINGE AREAS FOR URBAN REGENERATION IN SEASIDE CITIES: THE HIGH LINE IN MANHATTAN, NYC",10.1007/S11852-018-0636-7,for,10.1016/J.OCECOAMAN.2013.09.007,SPALDING,2014
ASSESSING THE ROLE OF PARAMETER AND INPUT UNCERTAINTY IN ECOHYDROLOGIC MODELING: IMPLICATIONS FOR A SEMI-ARID AND URBANIZING COASTAL CALIFORNIA CATCHMENT,"TRACE METAL DISTRIBUTION IN SEDIMENTS OF THE PEARL RIVER ESTUARY AND THE SURROUNDING COASTAL AREA, SOUTH CHINA",10.1007/S10021-012-9545-Z,in,,IPCC,2007
ASSESSING THE URBAN WATER BALANCE: THE URBAN WATER FLOW MODEL AND ITS APPLICATION IN CYPRUS,DOES AVIAN FLIGHT INITIATION DISTANCE INDICATE TOLERANCE TOWARDS URBAN DISTURBANCE?,10.2166/WST.2012.188,in,10.1016/J.TOURMAN.2011.03.015,GOSSLING,2012
"ASSESSMENT OF HUMAN THERMAL PERCEPTION IN THE HOT-HUMID CLIMATE OF DAR ES SALAAM, TANZANIA",HUMAN THERMAL PERCEPTION OF COASTAL MEDITERRANEAN OUTDOOR URBAN ENVIRONMENTS,10.1007/S00484-016-1192-1,of,10.1016/J.APGEOG.2012.11.001,COHEN,2013
"ASSESSMENT OF HUMAN THERMAL PERCEPTION IN THE HOT-HUMID CLIMATE OF DAR ES SALAAM, TANZANIA","THE INFLUENCE OF URBAN DESIGN ON OUTDOOR THERMAL COMFORT IN THE HOT, HUMID CITY OF COLOMBO, SRI LANKA",10.1007/S00484-016-1192-1,of,10.1007/S00484-006-0047-6,JOHANSSON,2006
ASSOCIATIONS BETWEEN MICROPLASTIC POLLUTION AND LAND USE IN URBAN WETLAND SEDIMENTS,QUANTIFYING URBAN ECOLOGICAL GOVERNANCE: A SUITE OF INDICES CHARACTERIZES THE ECOLOGICAL PLANNING IMPLICATIONS OF RAPID COASTAL URBANIZATION,10.1007/S11356-019-04885-W,for,10.1007/S11270-017-3439-9,ABIDLI,2017
ASSOCIATIONS BETWEEN MICROPLASTIC POLLUTION AND LAND USE IN URBAN WETLAND SEDIMENTS,MODELING OF URBAN WIND VENTILATION USING HIGH RESOLUTION AIRBORNE LIDAR DATA,10.1007/S11356-019-04885-W,for,10.1016/J.ENVPOL.2016.12.064,PENG,2017
CAT GETS ITS TERN: A CASE STUDY OF PREDATION ON A THREATENED COASTAL SEABIRD,CAT GETS ITS TERN: A CASE STUDY OF PREDATION ON A THREATENED COASTAL SEABIRD,10.3390/ANI9070445,in,,GREENWELL,2019
CHALLENGES AND BENEFITS IN THE DESIGN OF COASTAL WALKING AND CYCLING AMENITIES: TOWARD A MORE INTEGRATED COASTAL MANAGEMENT APPROACH,"EXTREME SEA-LEVEL RISE AND ADAPTATION OPTIONS FOR COASTAL RESORT CITIES: A QUALITATIVE ASSESSMENT FROM THE GOLD COAST, AUSTRALIA",10.1080/08920753.2015.1086950,in,10.1016/J.OCECOAMAN.2012.04.001,COOPER,2012
CHALLENGES AND BENEFITS IN THE DESIGN OF COASTAL WALKING AND CYCLING AMENITIES: TOWARD A MORE INTEGRATED COASTAL MANAGEMENT APPROACH,THE COORDINATED DEVELOPMENT DEGREE BETWEEN URBAN TOURISM AND ECOLOGICAL ENVIRONMENT OF MAIN COASTAL CITIES AROUND BOHAI SEA,10.1080/08920753.2015.1086950,in,10.1016/J.COSUST.2010.12.014,LEICHENKO,2011
CHARACTERISATION OF ATMOSPHERIC DEPOSITED PARTICLES DURING A DUST STORM IN URBAN AREAS OF EASTERN AUSTRALIA,CHARACTERISATION OF ATMOSPHERIC DEPOSITED PARTICLES DURING A DUST STORM IN URBAN AREAS OF EASTERN AUSTRALIA,10.1016/J.SCITOTENV.2013.04.080,in,10.1016/J.ATMOSENV.2012.11.062,GUNAWARDENA,2013
COASTAL CITIES AND ENVIRONMENTAL CHANGE,"WHAT LIES BENEATH SCIENCE, NATURE, AND THE MAKING OF BOSTON HARBOR",10.3197/096734014X14091313617280,in,10.1177/0096144209335856,RAWSON,2009
COASTAL URBAN LIGHTING HAS ECOLOGICAL CONSEQUENCES FOR MULTIPLE TROPHIC LEVELS UNDER THE SEA,"LEVELS AND SOURCES OF POLYCYCLIC AROMATIC HYDROCARBONS (PAHS) IN SELECTED IRRIGATED URBAN AGRICULTURAL SOILS IN ACCRA, GHANA",10.1016/J.SCITOTENV.2016.10.037,for,10.1371/JOURNAL.PONE.0080962,TAYLOR,2013
COMBINING TERRASAR-X AND LANDSAT IMAGES FOR EMERGENCY RESPONSE IN URBAN ENVIRONMENTS,COMBINING TERRASAR-X AND LANDSAT IMAGES FOR EMERGENCY RESPONSE IN URBAN ENVIRONMENTS,10.3390/RS10050802,in,10.1002/ESP.4309,HAVIVI,2018
"COMPARING THE ENVIRONMENTAL EFFECTS OF TERRESTRIAL AND OFFSHORE AIRPORTS: THE CASE OF DALIAN CITY, CHINA",MECHANISMS OF CADMIUM TOXICITY TO VARIOUS TROPHIC SALTWATER ORGANISMS,10.2112/SI84-015.1,for,10.1016/J.ECOLECON.2010.07.031,WANG,2010
"COMPARISON OF THE EXOTIC AND NATIVE ANT COMMUNITIES (HYMENOPTERA: FORMICIDAE) IN URBAN GREEN AREAS AT INLAND, COASTAL AND INSULAR SITES IN SPAIN",THE PEST STATUS OF AUSTRALIAN WHITE IBIS (THRESKIORNIS MOLUCCA) IN URBAN SITUATIONS AND THE EFFECTIVENESS OF EGG-OIL IN REPRODUCTIVE CONTROL,10.14411/EJE.2014.044,in,,MARTINEZ,2007
COUPLED MODELING OF STORM SURGE AND COASTAL INUNDATION: A CASE STUDY IN NEW YORK CITY DURING HURRICANE SANDY,INTEGRATING CLIMATE CHANGE FACTORS INTO CHINA'S DEVELOPMENT POLICY: ADAPTATION STRATEGIES AND MITIGATION TO ENVIRONMENTAL CHANGE,10.1002/2016WR019102,of,10.1016/J.COASTALENG.2011.01.011,GALLIEN,2011
COUPLED MODELING OF STORM SURGE AND COASTAL INUNDATION: A CASE STUDY IN NEW YORK CITY DURING HURRICANE SANDY,"MULTI-SOURCE CHARACTERISTICS OF ATMOSPHERIC DEPOSITION IN NANJING, CHINA, AS CONTROLLED BY EAST ASIA MONSOONS AND URBAN ACTIVITIES",10.1002/2016WR019102,of,"[10.1038/NCLIMATE2777, 10.1038/NCLIMATE2777]",LIN,2016
DIFFERENTIATING BETWEEN PARTICLE FORMATION AND GROWTH EVENTS IN AN URBAN ENVIRONMENT,DIFFERENTIATING BETWEEN PARTICLE FORMATION AND GROWTH EVENTS IN AN URBAN ENVIRONMENT,10.5194/ACP-18-11171-2018,in,10.1016/J.ENVPOL.2017.10.102,PUSHPAWELA,2018
DOES AVIAN FLIGHT INITIATION DISTANCE INDICATE TOLERANCE TOWARDS URBAN DISTURBANCE?,WATERSHED-BASED SOURCES OF POLYCYCLIC AROMATIC HYDROCARBONS IN URBAN STORM WATER,10.1016/J.ECOLIND.2011.09.018,in,10.1016/J.ANBEHAV.2005.05.010,BLUMSTEIN,2006
EARLY URBAN IMPACT ON MEDITERRANEAN COASTAL ENVIRONMENTS,EARLY URBAN IMPACT ON MEDITERRANEAN COASTAL ENVIRONMENTS,10.1038/SREP03540,in,10.1371/JOURNAL.PONE.0071004,KANIEWSKI,2013
FINE-SCALE FLIGHT STRATEGIES OF GULLS IN URBAN AIRFLOWS INDICATE RISK AND REWARD IN CITY LIVING,GULLS IN URBAN ENVIRONMENTS: LANDSCAPE-LEVEL MANAGEMENT TO REDUCE CONFLICT,10.1098/RSTB.2015.0394,of,10.1016/S0169-2046(97)00037-6,BELANT,1997
FORAGING ECOLOGY OF FOUR GULL SPECIES AT A COASTAL-URBAN INTERFACE,GULLS IN URBAN ENVIRONMENTS: LANDSCAPE-LEVEL MANAGEMENT TO REDUCE CONFLICT,10.1525/COND.2013.110185,in,10.1016/S0169-2046(97)00037-6,BELANT,1997
FORAGING ECOLOGY OF FOUR GULL SPECIES AT A COASTAL-URBAN INTERFACE,RESPONSES OF AVIAN GUILDS TO URBANISATION IN A TROPICAL CITY,10.1525/COND.2013.110185,in,10.1016/S0169-2046(03)00111-7,LIM,2004
FROM URBAN CLIMATE TO ENERGY CONSUMPTION. ENHANCING BUILDING PERFORMANCE SIMULATION BY INCLUDING THE URBAN HEAT ISLAND EFFECT,FROM URBAN CLIMATE TO ENERGY CONSUMPTION. ENHANCING BUILDING PERFORMANCE SIMULATION BY INCLUDING THE URBAN HEAT ISLAND EFFECT,10.1016/J.ENBUILD.2017.03.069,in,,PALME,2017
GENETIC CHARACTERISTICS OF COASTAL CUTTHROAT TROUT INHABITING AN URBAN WATERSHED,AN URBAN STREAM CAN SUPPORT A HEALTHY POPULATION OF COASTAL CUTTHROAT TROUT,10.1007/S10641-018-0739-X,in,10.1007/S11252-017-0711-0,SILVER,2018
GEOMORPHOLOGY OF THE ANTHROPOCENE IN MEDITERRANEAN URBAN AREAS,"URBAN LANDSCAPE EXTRACTION AND ANALYSIS IN THE MEGA-CITY OF CHINA'S COASTAL REGIONS USING HIGH-RESOLUTION SATELLITE IMAGERY: A CASE OF SHANGHAI, CHINA",10.1177/0309133319881108,in,10.4461/GFDQ.2018.41.2,BRANDOLINI,2018
HABITAT FORMATION PREVAILS OVER PREDATION IN INFLUENCING FOULING COMMUNITIES,IS IT TIME FOR URBAN ECOLOGY TO INCLUDE THE MARINE REALM?,10.1002/ECE3.3654,of,10.1016/J.TREE.2006.09.004,BULLERI,2006
HABITAT FORMATION PREVAILS OVER PREDATION IN INFLUENCING FOULING COMMUNITIES,WHY DO FLOATING STRUCTURES CREATE NOVEL HABITATS FOR SUBTIDAL EPIBIOTA?,10.1002/ECE3.3654,of,10.3354/MEPS235043,HOLLOWAY,2002
"INCREASES IN THE CLIMATE CHANGE ADAPTION EFFECTIVENESS AND AVAILABILITY OF VEGETATION ACROSS A COASTAL TO DESERT CLIMATE GRADIENT INMETROPOLITAN LOS ANGELES, CA, USA","INCREASES IN THE CLIMATE CHANGE ADAPTION EFFECTIVENESS AND AVAILABILITY OF VEGETATION ACROSS A COASTAL TO DESERT CLIMATE GRADIENT INMETROPOLITAN LOS ANGELES, CA, USA",10.1016/J.SCITOTENV.2016.01.049,of,10.1016/J.COMPAG.2015.12.003,TAYYEBI,2016
"INCREASES IN THE CLIMATE CHANGE ADAPTION EFFECTIVENESS AND AVAILABILITY OF VEGETATION ACROSS A COASTAL TO DESERT CLIMATE GRADIENT INMETROPOLITAN LOS ANGELES, CA, USA","FREQUENCY ANALYSIS FOR PREDICTING EXTREME PRECIPITATION IN CHANGXING STATION OF TAIHU BASIN, CHINA",10.1016/J.SCITOTENV.2016.01.049,of,10.1016/J.SCITOTENV.2014.04.080,ZHOU,2014
LARVAL DEVELOPMENT OF AEDES AEGYPTI AND AEDES ALBOPICTUS IN PERI-URBAN BRACKISH WATER AND ITS IMPLICATIONS FOR TRANSMISSION OF ARBOVIRAL DISEASES,LARVAL DEVELOPMENT OF AEDES AEGYPTI AND AEDES ALBOPICTUS IN PERI-URBAN BRACKISH WATER AND ITS IMPLICATIONS FOR TRANSMISSION OF ARBOVIRAL DISEASES,10.1371/JOURNAL.PNTD.0001369,of,10.1186/1471-2334-11-18,RAMASAMY,2011
MODELING OF URBAN WIND VENTILATION USING HIGH RESOLUTION AIRBORNE LIDAR DATA,ECO-CITIES IN CHINA: PEARLS IN THE SEA OF DEGRADING URBAN ENVIRONMENTS?,10.1016/J.COMPENVURBSYS.2017.01.003,of,10.1016/J.LANDURBPLAN.2011.05.003,WONG,2011
"MULTI-SOURCE CHARACTERISTICS OF ATMOSPHERIC DEPOSITION IN NANJING, CHINA, AS CONTROLLED BY EAST ASIA MONSOONS AND URBAN ACTIVITIES","COASTLINE EVOLUTION MONITORING AND ESTIMATION - A CASE STUDY IN THE REGION OF NOUAKCHOTT, MAURITANIA",10.1016/S1002-0160(15)60050-9,for,10.1016/J.JHAZMAT.2006.09.066,WU,2007
NOWHERE SAFE? EXPLORING THE INFLUENCE OF URBANIZATION ACROSS MAINLAND AND INSULAR SEASHORES IN CONTINENTAL PORTUGAL AND THE AZOREAN ARCHIPELAGO,IS IT TIME FOR URBAN ECOLOGY TO INCLUDE THE MARINE REALM?,10.1016/J.MARPOLBUL.2016.10.045,in,10.1016/J.TREE.2006.09.004,BULLERI,2006
NOWHERE SAFE? EXPLORING THE INFLUENCE OF URBANIZATION ACROSS MAINLAND AND INSULAR SEASHORES IN CONTINENTAL PORTUGAL AND THE AZOREAN ARCHIPELAGO,URBAN VS. EXTRA-URBAN ENVIRONMENTS: SCALES OF VARIATION OF INTERTIDAL BENTHIC ASSEMBLAGES IN NORTH PORTUGAL,10.1016/J.MARPOLBUL.2016.10.045,in,10.1016/J.MARENVRES.2014.02.005,OLIVEIRA,2014
NUTRIENT EXPORT AND ELEMENTAL STOICHIOMETRY IN AN URBAN TROPICAL RIVER,"URBANIZATION ALTERS BELOWGROUND INVERTEBRATE COMMUNITY STRUCTURE IN SEMI-ARID REGIONS: A COMPARISON OF LAWNS, BIOFILTERS AND SAGE SCRUB",10.1002/EAP.1839,of,10.1002/LNO.10947,REISINGER,2019
ON THE ASSESSMENT OF ALTERNATIVES FOR BUILDING COOLING LOAD REDUCTIONS FOR A TROPICAL COASTAL CITY,THE PUBLIC HEALTH PLANNERS' PERFECT STORM: HURRICANE MATTHEW AND ZIKA VIRUS,10.1016/J.ENBUILD.2018.10.023,for,10.1115/1.4036545,AHMED,2017
ON THE ASSESSMENT OF ALTERNATIVES FOR BUILDING COOLING LOAD REDUCTIONS FOR A TROPICAL COASTAL CITY,ON THE ASSESSMENT OF ALTERNATIVES FOR BUILDING COOLING LOAD REDUCTIONS FOR A TROPICAL COASTAL CITY,10.1016/J.ENBUILD.2018.10.023,for,10.1115/1.4041401,POKHREL,2019
ON THE ASSESSMENT OF ALTERNATIVES FOR BUILDING COOLING LOAD REDUCTIONS FOR A TROPICAL COASTAL CITY,RELATIONSHIP BETWEEN EPIBENTHIC INVERTEBRATE SPECIES ASSEMBLAGES AND ENVIRONMENTAL VARIABLES IN BOSTON HARBOR'S INTERTIDAL HABITAT,10.1016/J.ENBUILD.2018.10.023,for,,REDDY,2016
"QUANTIFYING FEEDING BEHAVIOR OF RIBBED MUSSELS (GEUKENSIA DEMISSA) IN TWO URBAN SITES (LONG ISLAND SOUND, USA) WITH DIFFERENT SESTON CHARACTERISTICS","QUANTIFYING FEEDING BEHAVIOR OF RIBBED MUSSELS (GEUKENSIA DEMISSA) IN TWO URBAN SITES (LONG ISLAND SOUND, USA) WITH DIFFERENT SESTON CHARACTERISTICS",10.1007/S12237-013-9633-0,of,10.1007/S10499-012-9608-3,GALIMANY,2013
QUANTIFYING THE INFLUENCE OF URBAN LAND USE ON MANGROVE BIOLOGY AND ECOLOGY: A META-ANALYSIS,RESPONSES OF AVIAN GUILDS TO URBANISATION IN A TROPICAL CITY,10.1111/GEB.12638,in,10.1016/S0169-2046(03)00111-7,LIM,2004
QUANTIFYING THE INFLUENCE OF URBAN LAND USE ON MANGROVE BIOLOGY AND ECOLOGY: A META-ANALYSIS,THE INFLUENCE OF THE SUMMER SEA BREEZE ON THERMAL COMFORT IN FUNCHAL (MADEIRA). A CONTRIBUTION TO TOURISM AND URBAN PLANNING,10.1111/GEB.12638,in,10.1016/J.ENVPOL.2010.09.029,PENHALOPES,2011
"THE APPLICATION OF A HIGH-DENSITY STREET-LEVEL AIR TEMPERATURE OBSERVATION NETWORK (HISAN): DYNAMIC VARIATION CHARACTERISTICS OF URBAN HEAT ISLAND IN TAINAN, TAIWAN",APPLICATION OF CLIMATIC GUIDELINES TO URBAN PLANNING THE EXAMPLE OF LISBON (PORTUGAL),10.1016/J.SCITOTENV.2018.01.059,of,10.1016/J.LANDURBPLAN.2008.10.006,ALCOFORADO,2009
THE EFFECTS OF LOCAL AND LANDSCAPE HABITAT ATTRIBUTES ON BIRD DIVERSITY IN URBAN GREENSPACES,THE EFFECTS OF LOCAL AND LANDSCAPE HABITAT ATTRIBUTES ON BIRD DIVERSITY IN URBAN GREENSPACES,10.1002/ECS2.2347,in,10.1071/WR17141,CALLAGHAN,2018
THE INFLUENCE OF THE SUMMER SEA BREEZE ON THERMAL COMFORT IN FUNCHAL (MADEIRA). A CONTRIBUTION TO TOURISM AND URBAN PLANNING,APPLICATION OF CLIMATIC GUIDELINES TO URBAN PLANNING THE EXAMPLE OF LISBON (PORTUGAL),10.1127/0941-2948/2011/0248,in,10.1016/J.LANDURBPLAN.2008.10.006,ALCOFORADO,2009
THE RELATIONSHIP BETWEEN INDOOR AND OUTDOOR LEVELS OF PM10 AND ITS CHEMICAL COMPOSITION AT SCHOOLS IN A COASTAL REGION IN SPAIN,THE RELATIONSHIP BETWEEN INDOOR AND OUTDOOR LEVELS OF PM10 AND ITS CHEMICAL COMPOSITION AT SCHOOLS IN A COASTAL REGION IN SPAIN,10.1016/J.HELIYON.2019.E02270,in,10.3390/ATMOS10040209,PALLARES,2019
"TRACE METAL DISTRIBUTION IN SEDIMENTS OF THE PEARL RIVER ESTUARY AND THE SURROUNDING COASTAL AREA, SOUTH CHINA","OVER ONE HUNDRED YEARS OF TRACE METAL FLUXES IN THE SEDIMENTS OF THE PEARL RIVER ESTUARY, SOUTH CHINA",10.1016/J.ENVPOL.2006.06.028,in,10.1016/J.ENVPOL.2004.03.028,IP,2004
TRIPLE OXYGEN ISOTOPES INDICATE URBANIZATION AFFECTS SOURCES OF NITRATE IN WET AND DRY ATMOSPHERIC DEPOSITION,"MOVEMENT AND ACTIVITY PATTERNS OF EASTERN COYOTES IN A COASTAL, SUBURBAN ENVIRONMENT",10.5194/ACP-18-6381-2018,in,10.1007/S10533-004-0370-0,GALLOWAY,2004
URBAN IMPACTS ACROSS REALMS: MAKING THE CASE FOR INTER-REALM MONITORING AND MANAGEMENT,COASTAL URBAN LIGHTING HAS ECOLOGICAL CONSEQUENCES FOR MULTIPLE TROPHIC LEVELS UNDER THE SEA,10.1016/J.SCITOTENV.2018.08.134,in,10.1016/J.SCITOTENV.2016.10.037,BOLTON,2017
URBAN IMPACTS ACROSS REALMS: MAKING THE CASE FOR INTER-REALM MONITORING AND MANAGEMENT,IS IT TIME FOR URBAN ECOLOGY TO INCLUDE THE MARINE REALM?,10.1016/J.SCITOTENV.2018.08.134,in,10.1016/J.TREE.2006.09.004,BULLERI,2006
"URBAN LANDSCAPE EXTRACTION AND ANALYSIS IN THE MEGA-CITY OF CHINA'S COASTAL REGIONS USING HIGH-RESOLUTION SATELLITE IMAGERY: A CASE OF SHANGHAI, CHINA",APPLICATION OF COASTAL VEGETATION TO GREEN ROOFS OF RESIDENTIAL BUILDINGS IN TAIWAN,10.1016/J.JAG.2018.03.002,for,10.1016/J.ISPRSJPRS.2014.09.002,CHEN,2015
URBAN WATERSCAPES: THE HYDRO-POLITICS OF FLOODING IN A SINKING CITY,URBAN WATERSCAPES: THE HYDRO-POLITICS OF FLOODING IN A SINKING CITY,10.1111/1468-2427.12756,in,"[10.1177/0042098018807306,",GOH,2019
URBAN WATERSCAPES: THE HYDRO-POLITICS OF FLOODING IN A SINKING CITY,URBANISATION EFFECTS ON SUMMER HABITAT COMFORT: A CASE STUDY OF THREE COASTAL CITIES IN SOUTHEAST CHINA,10.1111/1468-2427.12756,in,,MEYER,2010
"URBANIZATION-RELATED DISTRIBUTION PATTERNS AND HABITAT-USE BY THE MARINE MESOPREDATOR, GIANT PACIFIC OCTOPUS (ENTEROCTOPUS DOFLEINI)",COASTAL URBAN LIGHTING HAS ECOLOGICAL CONSEQUENCES FOR MULTIPLE TROPHIC LEVELS UNDER THE SEA,10.1007/S11252-018-0742-1,in,10.1016/J.SCITOTENV.2016.10.037,BOLTON,2017
"URBANIZATION-RELATED DISTRIBUTION PATTERNS AND HABITAT-USE BY THE MARINE MESOPREDATOR, GIANT PACIFIC OCTOPUS (ENTEROCTOPUS DOFLEINI)",IS IT TIME FOR URBAN ECOLOGY TO INCLUDE THE MARINE REALM?,10.1007/S11252-018-0742-1,in,10.1016/J.TREE.2006.09.004,BULLERI,2006
